"watershed","position","CCWI","discharge","relief","grain","Qm","Qp","Rf","M"
2,"north",100,81,0.81,"c",13.4,40.0,43.7,2.8
2,"north",100,81,0.81,"c",12.5,40.0,44.1,3.4
2,"north",100,81,0.81,"c",14.1,38.4,43.0,4.6
2,"north",100,81,0.81,"m",35.3,25.7,27.7,11.5
2,"north",100,81,0.81,"m",38.9,17.9,31.0,12.3
2,"north",100,81,0.81,"m",36.4,20.0,33.4,10.3
2,"north",100,81,0.81,"f",52.3,6.0,25.2,16.4
2,"north",100,81,0.81,"f",50.0,5.2,26.0,18.8
2,"north",100,81,0.81,"f",48.4,5.9,28.0,17.7
10,"north",202,107,0.53,"c",17.2,37.0,39.6,6.2
10,"north",202,107,0.53,"c",20.8,35.1,35.1,8.8
10,"north",202,107,0.53,"c",16.5,40.3,34.5,8.6
10,"north",202,107,0.53,"m",40.7,26.4,17.7,15.1
10,"north",202,107,0.53,"m",38.1,26.4,22.2,13.4
10,"north",202,107,0.53,"m",40.0,24.5,15.0,20.7
10,"north",202,107,0.53,"f",62.7,5.5,11.8,20.0
10,"north",202,107,0.53,"f",64.4,7.9,11.3,16.2
10,"north",202,107,0.53,"f",55.0,6.1,11.1,27.9
34,"north",198,119,0.60,"c",18.7,29.2,35.3,16.8
34,"north",198,119,0.60,"c",15.3,33.6,38.6,12.3
34,"north",198,119,0.60,"c",19.9,33.6,35.1,11.3
34,"north",198,119,0.60,"m",40.7,16.6,17.4,25.2
34,"north",198,119,0.60,"m",42.5,20.3,19.3,17.7
34,"north",198,119,0.60,"m",39.6,17.7,17.7,24.7
34,"north",198,119,0.60,"f",64.6,3.9,10.8,20.6
34,"north",198,119,0.60,"f",68.3,5.8,11.0,14.7
34,"north",198,119,0.60,"f",62.2,4.4,11.7,21.7
41,"north",150,135,0.90,"c",19.7,25.9,41.3,13.0
41,"north",150,135,0.90,"c",28.8,20.8,36.7,13.6
41,"north",150,135,0.90,"c",18.8,28.5,39.5,13.1
41,"north",150,135,0.90,"m",45.2,9.6,27.3,17.9
41,"north",150,135,0.90,"m",45.0,13.7,24.8,16.5
41,"north",150,135,0.90,"m",47.4,9.6,27.1,16.0
41,"north",150,135,0.90,"f",52.9,4.7,19.8,22.5
41,"north",150,135,0.90,"f",48.3,4.7,18.8,28.1
41,"north",150,135,0.90,"f",53.2,7.4,18.3,21.0
13,"south",191,107,0.56,"c",33.6,21.2,44.5,0.7
13,"south",191,107,0.56,"c",27.4,22.9,49.0,0.7
13,"south",191,107,0.56,"c",29.1,24.2,45.8,0.9
13,"south",191,107,0.56,"m",57.4,10.9,19.9,11.7
13,"south",191,107,0.56,"m",59.3,10.1,21.4,9.3
13,"south",191,107,0.56,"m",55.5,8.3,21.1,15.1
13,"south",191,107,0.56,"f",63.0,4.7,12.5,19.8
13,"south",191,107,0.56,"f",64.7,3.2,11.9,20.2
13,"south",191,107,0.56,"f",64.4,4.3,10.7,20.5
27,"south",211,173,0.82,"c",24.6,34.5,36.7,4.2
27,"south",211,173,0.82,"c",20.3,28.0,39.2,12.5
27,"south",211,173,0.82,"c",18.7,39.1,35.2,7.0
27,"south",211,173,0.82,"m",50.7,10.3,17.6,21.3
27,"south",211,173,0.82,"m",47.4,15.2,16.9,20.4
27,"south",211,173,0.82,"m",51.3,10.5,17.5,20.6
27,"south",211,173,0.82,"f",65.0,2.7,8.6,23.7
27,"south",211,173,0.82,"f",66.0,1.7,7.9,24.4
27,"south",211,173,0.82,"f",64.8,2.8,8.1,24.3
32,"south",274,140,0.51,"c",40.1,30.9,26.0,3.1
32,"south",274,140,0.51,"c",39.5,30.7,26.5,3.3
32,"south",274,140,0.51,"c",42.2,27.0,23.6,7.1
32,"south",274,140,0.51,"m",56.0,9.3,16.6,18.1
32,"south",274,140,0.51,"m",58.4,9.4,16.9,15.4
32,"south",274,140,0.51,"m",62.4,11.5,13.4,12.0
32,"south",274,140,0.51,"f",67.5,2.6,6.3,23.5
32,"south",274,140,0.51,"f",66.2,3.6,6.5,23.7
32,"south",274,140,0.51,"f",66.2,3.7,6.3,23.9
37,"south",163,163,1.00,"c",17.1,23.2,54.4,5.2
37,"south",163,163,1.00,"c",14.0,18.9,57.7,9.4
37,"south",163,163,1.00,"c",13.7,28.6,53.0,4.7
37,"south",163,163,1.00,"m",45.1,9.0,26.4,19.4
37,"south",163,163,1.00,"m",44.0,13.4,28.0,14.5
37,"south",163,163,1.00,"m",40.7,12.9,27.1,19.3
37,"south",163,163,1.00,"f",55.4,4.0,12.2,28.4
37,"south",163,163,1.00,"f",54.7,5.9,12.8,26.6
37,"south",163,163,1.00,"f",58.2,4.1,13.4,24.2
